Counter,Reading,Type,Meaning (Singular),Meaning (Plural),Max number,Meaning (1),Meaning (2),Meaning (3),Meaning (4),Meaning (5),Meaning (6),Meaning (7),Meaning (8),Meaning (9),Meaning (10),Irregular reading (1),Irregular reading (2),Irregular reading (3),Irregular reading (4),Irregular reading (5),Irregular reading (6),Irregular reading (7),Irregular reading (8),Irregular reading (9),Irregular reading (10)
通り,とおり,F,way,ways,,,,,,,,,,,,ひととおり,ふたとおり,,,,,,,,
ドル,どる,A1,dollar,dollars,,,,,,,,,,,,,,,,,,,,,
人前,にんまえ,A2,portion,portions,,,,,,,,,,,,,,,,,,,,きゅうにんまえ;くにんまえ,
年生,ねんせい,A2,,,6,first-year student,second-year student,third-year student,fourth-year student,fifth-year student,sixth-year student,,,,,,,,,,,,,,
パーセント,ぱーせんと,E,percent,percent,,,,,,,,,,,,,,,,,,,,,
泊,はく,B2,night stay,night stay,,,,,,,,,,,,,,,,,,,,,
箱,はこ,B2,box,boxes,,,,,,,,,,,,ひとはこ,ふたはこ,,,,,,,,
発,はつ,B2,shot/hit/punch/etc.,shots/hits/punches/etc.,,,,,,,,,,,,,,,,,,,,,
番線,ばんせん,A1,,,,track one; platform one,track two; platform two,track three; platform three,track four; platform four,track five; platform five,track six; platform six,track seven; platform seven,track eight; platform eight,track nine; platform nine,track ten; platform ten,,,,,,,,,,
番地,ばんち,A1,,,,house No. one,house No. two,house No. three,house No. four,house No. five ,house No. six,house No. seven,house No. eight,house No. nine,house No. ten,,,,,,,,,,
秒,びょう,A1,second,seconds,,,,,,,,,,,,,,,,,,,,,
フィート,ふぃーと,A1,foot,feet,,,,,,,,,,,,,,,,,,,,,
文,ぶん,A1,sentence,sentences,,,,,,,,,,,,,,,,,,,,,
遍,へん,B1,time (repetitive action),times (repetitive action),,,,,,,,,,,,,,,,,,,,,
歩,ほ,B2,step,steps,,,,,,,,,,,,,,,,,,,,,
ボルト,ぼると,A1,volt,volts,,,,,,,,,,,,,,,,,,,,,
間,ま,IRREGULAR,room,rooms,2,,,,,,,,,,,ひとま,ふたま,,,,,,,,
名,めい,A1,person (polite),people (polite),,,,,,,,,,,,,,,,,,,,,
メートル,めーとる,A1,meter,meters,,,,,,,,,,,,,,,,,,,,,
問,もん,A1,problem,problems,,,,,,,,,,,,,,,,,,,,,
ヤード,やーど,A1,yard,yards,,,,,,,,,,,,,,,,,,,,,
山,やま,IRREGULAR,pile,piles,2,,,,,,,,,,,ひとやま,ふたやま,,,,,,,,
里,り,A1,ri (≈ 2.5 miles),ri (≈ 2.5 miles),,,,,,,,,,,,,,,,,,,,,
リットル,りっとる,A1,liter,liters,,,,,,,,,,,,,,,,,,,,,
割,わり,A1,tenth,tenths,,,,,,,,,,,,,,,,,,,,,
ワット,わっと,A1,watt,watts,,,,,,,,,,,,,,,,,,,,,
