Verb,Reading,Verb Group,Meaning
飾る,かざる,GODAN,"to decorate, to ornament, to adorn; to display, to exhibit, to put on show, to arrange; to mark (e.g. the day with a victory), to adorn (e.g. the front page), to grace (e.g. the cover); to affect (a manner), to keep up (appearances), to embellish, to dress up, to be showy, to be pretentious"
余る,あまる,GODAN,"to remain, to be left over, to be in excess, to be too many"
普及する,ふきゅうする,SURU,"diffusion, spread, popularization, promulgation, familiarization"
遠慮する,えんりょする,SURU,"reserve, constraint, restraint, modesty, diffidence, hesitation, holding back, discretion, tact, thoughtfulness; declining, refraining; forethought, foresight"
返す,かえす,GODAN,"to return (something), to restore, to put back; to turn over, to turn upside down, to overturn; to pay back, to retaliate, to reciprocate; to respond (with), to retort, to reply, to say back; to do ... back (e.g. speak back, throw back); to do again, to do repeatedly"
増大する,ぞうだいする,SURU,"enlargement, increase"
暮れる,くれる,ICHIDAN,"to get dark, to grow dark; to end (of a day, year, season, etc.), to come to an end, to close; to be sunk in (e.g. despair), to be lost in (e.g. thought), to be overcome with"
手入れする,ていれする,SURU,"care, looking after, repair, maintenance, tending, trimming, grooming; (police) raid, crackdown"
分類する,ぶんるいする,SURU,"classification, categorization, sorting"
改正する,かいせいする,SURU,"revision, amendment, alteration"
急行する,きゅうこうする,SURU,"hurrying (to somewhere), rushing, hastening; express (train)"
郵送する,ゆうそうする,SURU,"mailing, posting"
練習する,れんしゅうする,SURU,"practice, training, drill, (an) exercise, workout"
一定する,いっていする,SURU,"fixed, settled, constant, definite, uniform, regularized, regularised, defined, standardized, standardised, certain, prescribed"
展開する,てんかいする,SURU,"development, evolution, progression, unfolding, (plot) twist; expansion, spreading out, extending, deployment, building up; expansion (of an algebraic expression); development (of a three-dimensional shape); extraction (of compressed data), decompression, unpacking"
引き出す,ひきだす,GODAN,"to pull out, to take out, to draw out; to lead out (e.g. a horse from a stable), to summon (e.g. to court), to bring (e.g. someone to the negotiating table), to drag; to withdraw (money), to draw; to bring out (talent, potential, beauty, flavour, etc.), to extract (information, the truth, etc.), to get (e.g. an answer out of someone), to obtain (e.g. a result), to elicit, to draw (a conclusion), to derive (e.g. pleasure); to get (money) out of someone, to coax out of someone, to get someone to pay, to make someone produce (funds)"
暖房する,だんぼうする,SURU,(indoor) heating
高める,たかめる,ICHIDAN,"to raise, to lift, to boost, to enhance"
刻む,きざむ,GODAN,"to mince, to cut fine, to chop up, to hash, to shred; to carve, to engrave, to chisel, to notch; to tick away (time), to beat out (e.g. rhythm), to record the passing moments; to etch (into one's mind), to remember distinctly; to have tattooed; to torment"
退院する,たいいんする,SURU,"leaving hospital, discharge from hospital"
詰まる,つまる,GODAN,"to be packed (with), to be full (space, schedule, etc.); to be blocked (road, pipe, nose, etc.), to be clogged, to be plugged up; to shorten (width, interval, etc.), to shrink (shirt, word form, etc.), to narrow; to be at a loss, to be hard pressed; to end up, to be settled; to become a geminate consonant; to hit the ball near the handle of the bat"
調整する,ちょうせいする,SURU,"adjustment, regulation, coordination, reconciliation, tuning, fixing, tailoring"
押す,おす,GODAN,"to push, to press; to apply pressure from above, to press down; to stamp (i.e. a passport), to apply a seal; to affix (e.g. gold leaf); to press (someone for something), to urge, to compel, to influence; to overwhelm, to overpower, to repress; to push (events along), to advance (a plan); to do in spite of ..., to do even though ..., to force; to make sure; to be pressed for time; to advance troops, to attack; (of light) to be diffused across an entire surface"
見舞う,みまう,GODAN,"to ask after (someone's health), to visit; to attack, to strike, to meet with misfortune, to suffer an attack"
下宿する,げしゅくする,SURU,"boarding, lodging, board and lodging, room and board; boarding house, lodging house, lodgings"
写す,うつす,GODAN,"to transcribe, to duplicate, to reproduce, to imitate, to trace; to describe; to film, to picture, to photograph"
接近する,せっきんする,SURU,"getting closer, drawing nearer, approaching; being not much different, being near (age, skill, etc.); becoming close (i.e. friendly), becoming intimate"
乱暴する,らんぼうする,SURU,"violence, assault, rowdiness, wildness, running riot; rough (handling, language, etc.), reckless, careless, coarse, rude, unreasonable (e.g. demand), wild (e.g. argument); rape, sexual assault"
冷房する,れいぼうする,SURU,"air conditioning, air cooling"
娯楽する,ごらくする,SURU,"amusement, entertainment, recreation, pleasure, pastime, hobby"
教養する,きょうようする,SURU,"cultivation, refinement, culture, education"
沸かす,わかす,GODAN,"to boil, to heat; to excite; to melt (metal)"
漬ける,つける,ICHIDAN,"to soak (in), to steep, to dip, to dunk; to pickle, to preserve (in salt, vinegar, etc.)"
崩れる,くずれる,ICHIDAN,"to collapse, to crumble; to get out of shape, to lose one's shape, to become disorganized, to become untidy; to break down, to be thrown into disarray; to crash (stock market), to slump, to decline; to break money into small change; to turn bad (e.g. weather), to change for the worse, to deteriorate"
過ぎる,すぎる,ICHIDAN,"to pass through, to pass by, to go beyond; to pass (of time), to elapse; to have expired, to have ended, to be over; to exceed, to surpass, to be above; to be no more than ...; to be excessive, to be too much, to be too ..."
往復する,おうふくする,SURU,"making a round trip, going and returning, coming and going; round-trip ticket, return ticket; correspondence, exchanging (letters); socializing, visiting one another"
止める,とめる,ICHIDAN,"to stop, to turn off; to park; to prevent, to suppress (a cough), to hold back (tears), to hold (one's breath), to relieve (pain); to stop (someone from doing something), to dissuade, to forbid, to prohibit; to notice, to be aware of, to concentrate on, to pay attention to, to remember, to bear in mind; to fix (in place), to fasten, to tack, to pin, to nail, to button, to staple; to detain, to keep in custody"
挟む,はさむ,GODAN,"to hold between (e.g. one's fingers, chopsticks), to grip (from both sides); to put between, to sandwich between, to insert, to interpose; to catch (e.g. a finger in a door), to trap, to pinch; to insert (e.g. a break into proceedings), to interpose (e.g. an objection), to interject, to throw in (e.g. a joke); to be on either side of (a road, table, etc.), to have between each other, to be across (a street, river, etc.); to harbour (feelings), to cast (e.g. doubt)"
遅れる,おくれる,ICHIDAN,"to be late, to be delayed, to fall behind schedule, to be overdue; to fall behind (in a race, one's studies, etc.), to lag behind, to be behind (the times); to be bereaved of, to be preceded by (someone) in death; to be slow (of a clock or watch)"
続ける,つづける,ICHIDAN,"to continue (something), to keep up, to keep on"
手伝う,てつだう,GODAN,"to help, to assist, to aid; to contribute to, to be a factor in"
渡す,わたす,GODAN,"to ferry across (e.g. a river), to carry across, to traverse; to lay across, to build across; to hand over, to hand in, to pass, to give, to transfer"
驚く,おどろく,GODAN,"to be surprised, to be astonished"
眠る,ねむる,GODAN,"to sleep; to die, to rest (in peace), to lie (buried), to sleep (in the grave); to lie idle (e.g. of resources), to lie unused, to lie untapped, to lie untouched; to close one's eyes"
勝つ,かつ,GODAN,"to win, to gain victory"
解答する,かいとうする,SURU,"answer, solution"
聞こえる,きこえる,ICHIDAN,"to be heard, to be audible, to reach one's ears; to sound (like), to come across (as); to be well known, to be famous; to accept (someone's words), to agree, to understand"
浴びる,あびる,ICHIDAN,"to dash over oneself (e.g. water), to take (e.g. shower), to bask in (e.g. the sun), to bathe in, to be flooded with (e.g. light), to be covered in; to suffer (e.g. an attack), to draw (e.g. criticism, attention, praise), to have heaped upon, to be showered with"
尋ねる,たずねる,ICHIDAN,"to ask, to enquire, to inquire; to search, to look for, to look into, to investigate"
慣れる,なれる,ICHIDAN,"to get used to, to grow accustomed to, to become familiar with; to become skilled in, to become experienced at; to become tame, to become domesticated; to get used to doing"
反映する,はんえいする,SURU,"reflection (of light); reflection (of society, attitudes, etc.); application (of an update, changes, etc.), taking effect"
泣く,なく,GODAN,"to cry, to weep, to sob, to howl"
撮る,とる,GODAN,"to take (a photo); to record (video, audio, etc.), to make (a film)"
似る,にる,ICHIDAN,"to resemble, to look like, to be like, to be alike, to be similar, to take after"
締める,しめる,ICHIDAN,"to tie, to fasten, to tighten; to wear (necktie, belt), to put on; to total, to sum; to be strict with; to economize, to economise, to cut down on; to salt, to marinate, to pickle, to make sushi adding a mixture of vinegar and salt; to kill (fish, poultry, etc.)"
調節する,ちょうせつする,SURU,"regulation, adjustment, control"
戻る,もどる,GODAN,"to turn back (e.g. half-way); to return, to go back; to recover (e.g. something lost), to be returned; to rebound, to spring back"
分解する,ぶんかいする,SURU,"disassembly, dismantling, disaggregating, taking apart, breaking up, analysis, parsing; decomposition, resolution, disintegration, degradation; factorization"
調べる,しらべる,ICHIDAN,"to examine, to look up, to investigate, to check up, to sense, to study, to inquire, to search"
停止する,ていしする,SURU,"stoppage, coming to a stop, halt, standstill; ceasing (movement, activity, etc.), suspension (of operations), interruption (e.g. of electricity supply), cutting off; suspension (of payment, a licence, etc.), (temporary) prohibition, ban; suspension of music, dance, etc. as a sign of mourning for a prominent person"
伝える,つたえる,ICHIDAN,"to convey, to report, to transmit, to communicate, to tell, to impart, to propagate, to teach, to bequeath"
動く,うごく,GODAN,"to move, to stir, to shift, to shake, to swing; to operate, to run, to go, to work; to make a move, to take action, to act, to go into action; to be touched, to be influenced; to change, to vary, to fluctuate, to waver; to be transferred"
輸送する,ゆそうする,SURU,"transport, transportation"
続く,つづく,GODAN,"to continue, to last, to go on; to continue (without a break), to be unbroken; to occur again and again; to lead to, to connect to, to adjoin; to come after, to follow, to succeed, to rank next to; to hold out, to keep, to last"
応援する,おうえんする,SURU,"aid, assistance, help, support, reinforcement; cheering, rooting (for), support"
鳴る,なる,GODAN,"to sound, to ring, to resound, to echo, to roar, to rumble"
可決する,かけつする,SURU,"approval, adoption (of a motion, bill, etc.), passage"
負ける,まける,ICHIDAN,"to lose, to be defeated; to succumb, to give in, to surrender, to yield; to be inferior to; to break out in a rash due to (e.g. lacquer, shaving, etc.); to reduce the price, to give a discount, to throw in (something extra) for free"
油断する,ゆだんする,SURU,"negligence, carelessness, inattention, unpreparedness"
亡くなる,なくなる,GODAN,"to pass away, to die"
停車する,ていしゃする,SURU,"stopping (of a train, car, etc.), stop"
延長する,えんちょうする,SURU,"extension, elongation, prolongation, lengthening; Enchō era (923.4.11-931.4.26)"
間違える,まちがえる,ICHIDAN,"to make a mistake (in), to commit an error (e.g. in calculation); to confuse, to mistake something for something else"
回る,まわる,GODAN,"to turn, to revolve; to visit several places; to function well; to pass a certain time; to go or come around (to another place, point of view); to go via, to stop at; to earn interest"
相違する,そういする,SURU,"difference, discrepancy, variation"
捨てる,すてる,ICHIDAN,"to throw away, to cast away, to dump, to discard; to abandon, to desert, to leave; to give up, to resign"
育てる,そだてる,ICHIDAN,"to raise, to rear, to bring up; to train, to teach, to educate; to promote the growth of, to nurture, to foster, to develop"
修繕する,しゅうぜんする,SURU,"repair, mending"
褒める,ほめる,ICHIDAN,"to praise, to commend, to compliment, to speak well of, to speak highly of"
終了する,しゅうりょうする,SURU,"end, close, termination"
寄せる,よせる,ICHIDAN,"to come near, to let someone approach; to bring near, to bring together, to collect, to gather; to deliver (opinion, news, etc.), to send (e.g. a letter), to contribute, to donate; to let someone drop by; to add (numbers); to have feelings for (love, goodwill, trust, etc.); to rely upon for a time, to depend on; to use as a pretext; to put aside; to press, to push, to force; to include, to welcome (in a group), to let in"
塗る,ぬる,GODAN,"to paint, to plaster, to lacquer, to varnish, to spread, to smear, to put up (wallpaper)"
泊まる,とまる,GODAN,"to stay at (e.g. hotel); to be docked, to be berthed, to be moored"
争う,あらそう,GODAN,"to compete, to contest, to contend; to quarrel, to argue, to dispute, to be at variance, to oppose; to deny (e.g. evidence)"
片付ける,かたづける,ICHIDAN,"to tidy up, to put in order, to straighten up, to put away; to settle (problem), to clear (dispute); to finish, to bring something to an end; to marry off (e.g. a daughter); to do away with someone, to bump someone off"
会う,あう,GODAN,"to meet, to encounter, to see; to have an accident, to have a bad experience"
心得る,こころえる,ICHIDAN,"to know, to understand, to be aware of, to regard as, to take for; to consent, to agree"
止む,やむ,GODAN,"to cease, to stop, to be over"
追加する,ついかする,SURU,"addition, supplement, appending, appendix"
聞く,きく,GODAN,"to hear; to listen (e.g. to music); to ask, to enquire, to query; to hear about, to hear of, to learn of; to follow (advice, order, etc.), to obey, to listen to, to comply with; to hear (e.g. a plea), to grant (a request), to accept (e.g. an argument), to give consideration to; to smell (esp. incense), to sample (a fragrance); to taste (alcohol), to try"
応対する,おうたいする,SURU,"dealing with (people, customers, complaints, etc.), receiving (callers, visitors, etc.), attending to, handling, serving"
済む,すむ,GODAN,"to finish, to end, to be completed; to merely result in something less severe than expected; to feel at ease; to feel unease or guilt for troubling someone, to be sorry"
推定する,すいていする,SURU,"presumption, assumption; estimation"
捕まえる,つかまえる,ICHIDAN,"to catch, to capture, to arrest, to seize, to restrain; to grab, to clutch, to grasp, to seize, to hold on to; to catch hold of (someone), to stop (e.g. a stranger in the street), to hail (a taxi, waiter, etc.), to hold (someone) back, to detain; towards (someone), at (someone), in (someone's) face"
受験する,じゅけんする,SURU,taking an examination (esp. for entrance to a school or university)
踊る,おどる,GODAN,to dance (orig. a hopping dance)
書く,かく,GODAN,"to write, to compose, to pen; to draw, to paint"
足りる,たりる,ICHIDAN,"to be sufficient, to be enough; to be worth doing, to be worthy of, to deserve; to do (the job), to serve, to answer"
入る,はいる,GODAN,"to enter, to go into; to break into; to join, to enroll; to contain, to hold, to accommodate; to have (an income of); to get turned on, to start functioning, to start working; to get, to obtain, to receive, to score"
治る,なおる,GODAN,"to get better, to get well, to recover (from an illness), to be cured, to be restored, to heal"
置く,おく,GODAN,"to put, to place; to leave (behind); to establish (an organization, a facility, a position, etc.), to set up; to appoint (someone to a certain position), to hire, to employ; to place (one's trust, one's faith, etc.), to bear (in mind, etc.); to put down a tool (e.g. a pen) hence stopping what one is doing with that tool; to take in (boarders, etc.), to provide lodging in one's house; to separate spatially or temporally; to do something in advance; to leave something in a certain state, to keep something in a certain state"
防止する,ぼうしする,SURU,"prevention, check"
住む,すむ,GODAN,"to live (of humans), to reside, to inhabit, to dwell, to abide"
見学する,けんがくする,SURU,"inspection, study by observation, field trip, tour, review; sitting out (e.g. PE class)"
建てる,たてる,ICHIDAN,"to build, to construct"
食べる,たべる,ICHIDAN,"to eat; to live on (e.g. a salary), to live off, to subsist on"
謝る,あやまる,GODAN,to apologize
歩く,あるく,GODAN,to walk
立てる,たてる,ICHIDAN,"to stand up, to put up, to set up, to erect, to raise; to thrust into, to bury into, to dig into; to make (a noise), to start (a rumour), to raise (a cloud of dust, etc.), to cause; to make, to establish, to set up, to develop, to formulate; to put up (a political candidate), to make (one's leader); to treat with respect, to give (someone) their due, to make (someone) look good, to avoid embarrassing (someone); to sharpen, to make clear; to shut, to close; to make tea (matcha), to perform the tea ceremony; to divide by; to do ... vigorously"
働く,はたらく,GODAN,"to work, to labor, to labour; to function, to operate, to be effective, to work (i.e. ... works), to come into play; to commit (e.g. a crime), to perpetrate, to do, to act, to practise, to practice; to be conjugated"
干す,ほす,GODAN,"to air, to dry, to desiccate; to drain (off); to drink up; to deprive of a role, job, etc."
着く,つく,GODAN,"to arrive at, to reach; to sit on, to sit at (e.g. the table)"
濡れる,ぬれる,ICHIDAN,to get wet
投げる,なげる,ICHIDAN,"to throw, to hurl, to fling, to toss, to cast; to give up, to abandon, to throw away; to cast (a glance, shadow, doubt, etc.)"
回答する,かいとうする,SURU,"reply, answer"
太る,ふとる,GODAN,"to put on weight, to gain weight, to grow fat, to get stout"
教える,おしえる,ICHIDAN,"to teach, to instruct; to tell, to inform, to show; to preach"
寄る,よる,GODAN,"to approach, to draw near, to come near, to be close to; to gather (in one place), to come together, to meet; to stop by (while on one's way to another place), to drop by, to make a short visit; to grow old, to grow high (number, etc.); to grow (wrinkly); to lean against, to recline on; to push one's opponent while holding their belt; to decide on a price and come to a deal; to be swayed by (a person), to yield to"
降る,ふる,GODAN,"to fall (of rain, snow, ash, etc.), to come down; to form (of frost); to beam down (of sunlight or moonlight), to pour in; to visit (of luck, misfortune, etc.), to come, to arrive"
申請する,しんせいする,SURU,"application, request, petition"
死ぬ,しぬ,GODAN,"to die, to pass away; to lose spirit, to lose vigor, to look dead; to cease, to stop"
召し上がる,めしあがる,GODAN,"to eat, to drink [Honorific or respectful (sonkeigo) language]"
帰る,かえる,GODAN,"to return, to come home, to go home, to go back; to leave (of a guest, customer, etc.); to get home, to get to home plate"
発売する,はつばいする,SURU,"sale, offering for sale, release (for sale), launch (product)"
忘れる,わすれる,ICHIDAN,"to forget, to leave carelessly, to be forgetful of, to forget about, to forget (an article)"
揺れる,ゆれる,ICHIDAN,"to shake, to sway, to waver"
祈る,いのる,GODAN,"to pray, to wish"
込む,こむ,GODAN,"to be crowded, to be packed, to be congested, to be thronged (with); to be complex, to be intricate; to go into, to go in, to put into; to become (completely); to do thoroughly, to do sufficiently; to remain (silent, seated, etc.), to stay ..."
膨らむ,ふくらむ,GODAN,"to expand, to swell (out), to get big, to become inflated"
折る,おる,GODAN,"to break, to fracture, to break off, to snap off, to pick (e.g. flowers); to fold, to bend; to make (origami); to interrupt, to end"
起きる,おきる,ICHIDAN,"to get up, to rise, to blaze up (fire); to wake up, to be awake, to stay awake; to occur (usu. of unfavourable incidents), to happen, to take place"
発射する,はっしゃする,SURU,"firing (esp. a rocket or missile), launching, shooting, discharge, catapult; ejaculation"
座る,すわる,GODAN,"to sit, to squat; to assume (a position); to hold steady, to hold still"
拡張する,かくちょうする,SURU,"expansion, extension, enlargement; escape, ESC"
痩せる,やせる,ICHIDAN,"to become thin, to lose weight, to reduce (one's) weight, to slim; to be barren, to be infertile, to be sterile"
入れる,いれる,ICHIDAN,"to put in, to let in, to take in, to bring in, to insert, to install (e.g. software), to set (a jewel, etc.), to ink in (e.g. tattoo); to admit, to accept, to employ, to hire; to accept, to comply, to grant, to adopt (a policy, etc.), to take (advice, etc.), to listen to, to pay attention to; to include; to pay (one's rent, etc.); to cast (a vote); to make (tea, coffee, etc.); to turn on (a switch, etc.); to send (a fax), to call"
疲れる,つかれる,ICHIDAN,"to get tired, to tire, to get fatigued, to become exhausted, to grow weary; to become worn out (of a well-used object); to starve"
改める,あらためる,ICHIDAN,"to change, to alter, to revise, to replace; to reform, to correct, to mend, to improve; to examine, to check, to inspect; to do properly, to do formally"
開ける,あける,ICHIDAN,"to open (a door, etc.), to unwrap (e.g. parcel, package), to unlock; to open (for business, etc.); to empty, to remove, to make space, to make room; to move out, to clear out; to be away from (e.g. one's house), to leave (temporarily); to dawn, to grow light; to end (of a period, season); to begin (of the New Year); to leave (one's schedule) open, to make time (for); to make (a hole), to open up (a hole)"
触る,さわる,GODAN,"to touch, to feel; to get involved (with), to approach; to be harmful to, to hinder, to interfere with, to irritate"
指定する,していする,SURU,"designation, specification, assignment, appointment, pointing at"
拾う,ひろう,GODAN,"to pick up, to find, to gather"
焼く,やく,GODAN,"to burn; to roast, to broil, to grill, to bake, to toast, to barbecue; to heat, to heat up; to make (charcoal, pottery, bricks, etc.), to bake, to fire, to burn; to tan (i.e. suntan), to burn; to print (a photo), to burn (an optical disc); to be jealous of, to be envious of, to envy"
見せる,みせる,ICHIDAN,"to show, to display"
見直す,みなおす,GODAN,"to look at again; to re-examine (policy, estimate, plan, etc.), to review; to get a better opinion of, to see in a more positive light; to improve, to recover (market, illness, etc.)"
滑る,すべる,GODAN,"to glide, to slide (e.g. on skis), to slip; to fail (an examination), to bomb (when telling a joke); to drop, to go down, to come down, to fall (e.g. in status)"
違う,ちがう,GODAN,"to differ (from), to be different, to be distinct, to be unlike, to vary, to disagree (with); to be wrong, to be incorrect, to be mistaken; to become abnormal, to go wrong; isn't it?, wasn't it?"
割れる,われる,ICHIDAN,"to break, to be smashed; to split, to crack, to fissure, to be torn; to be divided (opinion, vote, etc.), to split (e.g. of a party); to come to light, to become clear, to be identified, to be revealed; to be distorted (of a sound); to be divisible (without a remainder); to go below a minimum"
覚える,おぼえる,ICHIDAN,"to memorize, to memorise, to commit to memory, to learn by heart, to bear in mind, to remember; to learn, to pick up, to acquire; to feel; to think, to regard"
重ねる,かさねる,ICHIDAN,"to pile up, to heap up, to stack up, to put on top of another; to repeat many times over, to go through repeatedly, to accumulate"
折れる,おれる,ICHIDAN,"to break, to be broken, to snap, to fracture; to be folded; to give in, to back down, to yield, to submit; to turn (a corner)"
移る,うつる,GODAN,"to move (house), to transfer (department); to change the target of interest or concern; to elapse (passage of time); to be permeated by a colour or scent; to be infected, to be contagious, to spread (as in fire)"
困る,こまる,GODAN,"to be troubled, to have difficulty, to be in a fix, to be at a loss, to be stumped, to be embarrassed; to be bothered, to be inconvenienced, to be annoyed; to be badly off, to be hard up, to be in straitened circumstances"
植える,うえる,ICHIDAN,"to plant, to grow, to raise; to insert, to transplant, to implant, to set (type); to inoculate (e.g. an infectious agent); to instill (idea, value, etc.), to inculcate"
生まれる,うまれる,ICHIDAN,to be born
光る,ひかる,GODAN,"to shine, to glitter, to be bright"
始まる,はじまる,GODAN,"to begin, to start, to commence; to happen (again), to begin (anew); to date (from), to originate (in)"
差し上げる,さしあげる,ICHIDAN,"to give, to offer; to lift up, to hold up, to raise [Humble (kenjougo) language]"
貸す,かす,GODAN,"to lend, to loan; to rent out, to hire out"
焼ける,やける,ICHIDAN,"to burn, to burn down, to go down in flames; to be roasted, to be thoroughly cooked; to be sunburnt, to fade (in the sun); to glow red (i.e. of the sky at sunset); to become hot (from the sun); to be jealous, to be envious"
弾く,ひく,GODAN,to play (a stringed or keyboard instrument)
乾く,かわく,GODAN,to get dry
遊ぶ,あそぶ,GODAN,"to play (games, sports), to enjoy oneself, to have a good time; to mess about (with alcohol, gambling, philandery, etc.); to be idle, to do nothing, to be unused; to meet up (with friends), to hang out; to give oneself up (to gambling, drinking, etc.); to go to (for pleasure or for study); to tease (someone), to play (with); to intentionally throw a ball to lower the batter's concentration"
釣る,つる,GODAN,"to fish, to angle, to catch; to lure in, to tempt, to attract, to entice, to allure"
渡る,わたる,GODAN,"to cross over, to go across; to extend, to cover, to range, to span"
届ける,とどける,ICHIDAN,"to deliver, to forward, to send; to report, to notify, to file notice (to the authorities), to give notice, to register"
消す,けす,GODAN,"to erase, to delete, to cross out; to turn off (power), to switch off; to extinguish, to put out; to bump off"
閉める,しめる,ICHIDAN,"to close, to shut"
拝見する,はいけんする,SURU,"seeing, looking at [Humble (kenjougo) language, Polite (teineigo) language]"
公表する,こうひょうする,SURU,"official announcement, proclamation"
予習する,よしゅうする,SURU,preparation for a lesson
対立する,たいりつする,SURU,"confrontation, opposition, antagonism"
足す,たす,GODAN,"to add (numbers); to add (something), to top up (with something); to take care of (e.g. one's business)"
晴れる,はれる,ICHIDAN,"to clear up, to clear away, to be sunny, to stop raining; to refresh (e.g. spirits); to be cleared (e.g. of a suspicion); to be dispelled, to be banished"
応用する,おうようする,SURU,"(practical) application, putting to practical use; applied (e.g. physics, linguistics, research)"
寝坊する,ねぼうする,SURU,"sleeping in late, oversleeping; late riser, sleepyhead"
曲がる,まがる,GODAN,"to bend, to curve, to warp, to wind, to twist; to turn; to be awry, to be askew, to be crooked"
録音する,ろくおんする,SURU,(audio) recording
消える,きえる,ICHIDAN,"to disappear, to vanish, to go out of sight, to go away, to become lost; to go out (of a fire, light, etc.), to die, to turn off (e.g. of a TV screen); to fade (of a feeling, impression, etc.), to vanish (e.g. of hope); to go away (e.g. of a smell, itchiness, sleepiness), to disappear, to fade away (e.g. of footsteps); to wear away (e.g. of an inscription), to rub out (of writing), to fade (e.g. of ink); to be lost (e.g. of a tradition), to die out, to disappear"
次ぐ,つぐ,GODAN,"to rank next to, to come after"
沸く,わく,GODAN,"to grow hot (e.g. water), to boil; to get excited (at), to erupt (in applause, cheering, etc.), to be in a ferment, to take place energetically; to ferment; to melt (of metal)"
復習する,ふくしゅうする,SURU,"review (of learned material), revision"
吹く,ふく,GODAN,"to blow (of the wind); to blow (one's breath), to breathe out, to blow on (hot tea, candles, etc.), to puff; to play (a wind instrument), to blow (a whistle, trumpet, etc.), to whistle (a tune); to emit (smoke, fire, etc.), to spout, to spew, to puff out; to sprout, to put forth (buds); to appear (on the surface), to form, to be coated with (powder, rust, etc.); to burst out laughing, to burst into laughter; to brag, to talk big; to smelt, to mint"
休養する,きゅうようする,SURU,"rest, relaxation, recreation, recuperation, convalescence"
引く,ひく,GODAN,"to pull, to tug, to lead (e.g. a horse); to draw (attention, sympathy, etc.), to attract (e.g. interest); to draw back (e.g. one's hand), to draw in (one's chin, stomach, etc.), to pull in; to draw (a card, mahjong tile, etc.); to draw (a line, plan, etc.); to catch (a cold); to play (a stringed or keyboard instrument); to look up (in a dictionary, phone book, etc.), to consult, to check; to haul, to pull (vehicles); to subtract, to deduct; to recede, to ebb, to fade; to be descend from, to inherit (a characteristic); to quote, to cite, to raise (as evidence); to lay on (electricity, gas, etc.), to install (e.g. a telephone), to supply (e.g. water); to hold (e.g. a note); to apply (e.g. lipstick), to oil (e.g. a pan), to wax (e.g. a floor); to move back, to draw back, to recede; to lessen, to subside, to ebb, to go down (e.g. of swelling); to resign, to retire, to quit"
付く,つく,GODAN,"to be attached, to be connected with, to adhere, to stick, to cling; to remain imprinted, to scar, to stain, to dye; to bear (fruit, interest, etc.); to be acquired (of a habit, ability, etc.), to increase (of strength, etc.); to take root; to accompany, to attend, to follow, to study with; to side with, to belong to; to possess, to haunt; to be lit, to catch fire, to ignite, to be turned on (of a light, appliance, etc.); to be settled, to be resolved, to be decided; to be given (of a name, price, etc.); to be sensed, to be perceived; to be lucky; to become (a state, condition, etc.)"
習う,ならう,GODAN,"to take lessons in, to be taught, to learn (from a teacher), to study (under a teacher), to get training in"
変える,かえる,ICHIDAN,"to change, to alter, to transform, to convert, to turn, to vary; to reform, to revise, to amend"
整備する,せいびする,SURU,"maintenance, servicing; putting in place, establishment, development, preparation, provision, outfitting"
削除する,さくじょする,SURU,"deletion, elimination, erasure, striking out"
脱ぐ,ぬぐ,GODAN,"to take off (clothes, shoes, etc.), to undress"
並ぶ,ならぶ,GODAN,"to line up, to stand in a line; to rival, to match, to equal"
吸う,すう,GODAN,"to smoke, to breathe in, to inhale; to suck, to sip, to slurp; to absorb, to soak up; to kiss"
閉まる,しまる,GODAN,"to be shut, to close, to be closed; to be firm (of a body, face, etc.), to be well-knit; to be locked; to tighten, to be tightened; to become sober, to become tense"
咲く,さく,GODAN,"to bloom, to flower, to blossom, to open"
鑑賞する,かんしょうする,SURU,"appreciation (of art, music, poetry, etc.)"
並べる,ならべる,ICHIDAN,"to line up, to set up, to arrange in a line; to enumerate, to itemize; to be equal (to), to compare well (with), to be as good (as)"
混合する,こんごうする,SURU,"mixing, mixture, meld; miscegenation"
曇る,くもる,GODAN,"to get cloudy, to cloud over, to become overcast; to cloud up, to fog up, to mist up, to become dim; to be gloomy, to be clouded (expression), to be downcast; to look slightly downward (of a noh mask; indicating sadness, grief, etc.)"
開会する,かいかいする,SURU,opening of a meeting
隔てる,へだてる,ICHIDAN,"to separate (by distance, time, etc.), to isolate, to partition, to divide; to interpose, to have between; to alienate, to estrange"
磨く,みがく,GODAN,"to polish, to shine, to burnish, to scour, to scrub, to brush (teeth), to grind (e.g. a lens); to refine (a skill, etc.), to improve, to hone, to polish (up), to cultivate (one's character)"
看病する,かんびょうする,SURU,nursing (a patient)
鳴く,なく,GODAN,"to make sound (of an animal), to call, to cry, to whine, to sing, to chirp; to make a meld call (e.g. pung, kong)"
就任する,しゅうにんする,SURU,"assumption (of office), taking up (a post), inauguration, installation"
移転する,いてんする,SURU,"moving, relocation, change of address; transfer (of deeds, property, etc.), demise"
在学する,ざいがくする,SURU,"attending (school, college, etc.), being enrolled, being a student"
差す,さす,GODAN,"to shine; to be visible; to be tinged with; to rise (of water levels), to flow in; to be felt (i.e. as an emotion), to come over one; to hold up (an umbrella, etc.), to put up, to raise; to extend one's arm straight ahead (in dance); to insert, to put in; to wear (a sword) in one's belt, to wear at one's side, to carry under one's arm; to insert one's arm under an opponent's arm; to pole (a boat); to pour, to add (liquid), to serve (drinks); to put on (lipstick, etc.), to apply, to colour, to dye; to light (a fire), to burn; to shut, to close, to lock, to fasten; to stop in the midst of, to leave undone"
