Predicate,Reading,Predicate Group
相次ぐ,あいつぐ,GODAN
和らぐ,やわらぐ,GODAN
寛ぐ,くつろぐ,GODAN
揺らぐ,ゆらぐ,GODAN
次ぐ,つぐ,GODAN
泳ぐ,およぐ,GODAN
騒ぐ,さわぐ,GODAN
急ぐ,いそぐ,GODAN
仰ぐ,あおぐ,GODAN
凌ぐ,しのぐ,GODAN
取り次ぐ,とりつぐ,GODAN
受け継ぐ,うけつぐ,GODAN
嗅ぐ,かぐ,GODAN
塞ぐ,ふさぐ,GODAN
引き継ぐ,ひきつぐ,GODAN
扇ぐ,あおぐ,GODAN
担ぐ,かつぐ,GODAN
接ぐ,つぐ,GODAN
注ぐ,そそぐ,GODAN
漕ぐ,こぐ,GODAN
濯ぐ,すすぐ,GODAN
研ぐ,とぐ,GODAN
稼ぐ,かせぐ,GODAN
継ぐ,つぐ,GODAN
繋ぐ,つなぐ,GODAN
脱ぐ,ぬぐ,GODAN
跨ぐ,またぐ,GODAN
防ぐ,ふせぐ,GODAN
剥ぐ,はぐ,GODAN
呟く,つぶやく,GODAN
敷く,しく,GODAN
泣く,なく,GODAN
説く,とく,GODAN
輝く,かがやく,GODAN
くっ付く,くっつく,GODAN
たどり着く,たどりつく,GODAN
ぼやく,ぼやく,GODAN
乾く,かわく,GODAN
付く,つく,GODAN
傷つく,きずつく,GODAN
傾く,かたむく,GODAN
働く,はたらく,GODAN
効く,きく,GODAN
動く,うごく,GODAN
吹く,ふく,GODAN
咲く,さく,GODAN
囁く,ささやく,GODAN
基づく,もとづく,GODAN
就く,つく,GODAN
届く,とどく,GODAN
懐く,なつく,GODAN
歩く,あるく,GODAN
気付く,きづく,GODAN
沸く,わく,GODAN
浮く,うく,GODAN
渇く,かわく,GODAN
湧く,わく,GODAN
点く,つく,GODAN
片付く,かたづく,GODAN
着く,つく,GODAN
瞬く,またたく,GODAN
空く,すく,GODAN
結びつく,むすびつく,GODAN
続く,つづく,GODAN
背く,そむく,GODAN
落ち着く,おちつく,GODAN
藻掻く,もがく,GODAN
赴く,おもむく,GODAN
躓く,つまずく,GODAN
近づく,ちかづく,GODAN
追いつく,おいつく,GODAN
退く,どく,GODAN
長引く,ながびく,GODAN
開く,あく,GODAN
開く,ひらく,GODAN
間誤付く,まごつく,GODAN
響く,ひびく,GODAN
驚く,おどろく,GODAN
鳴く,なく,GODAN
ばら撒く,ばらまく,GODAN
剥く,むく,GODAN
取り巻く,とりまく,GODAN
取り除く,とりのぞく,GODAN
叩く,たたく,GODAN
吐く,はく,GODAN
導く,みちびく,GODAN
履く,はく,GODAN
差し引く,さしひく,GODAN
巻く,まく,GODAN
引く,ひく,GODAN
引っ掻く,ひっかく,GODAN
弾く,ひく,GODAN
抜く,ぬく,GODAN
抱く,いだく,GODAN
招く,まねく,GODAN
拭く,ふく,GODAN
掃く,はく,GODAN
掻く,かく,GODAN
描く,えがく,GODAN
撒く,まく,GODAN
書く,かく,GODAN
欠く,かく,GODAN
欺く,あざむく,GODAN
溶く,とく,GODAN
炊く,たく,GODAN
焚く,たく,GODAN
焼く,やく,GODAN
省く,はぶく,GODAN
砕く,くだく,GODAN
破く,やぶく,GODAN
磨く,みがく,GODAN
突く,つく,GODAN
築く,きずく,GODAN
置く,おく,GODAN
聞く,きく,GODAN
蒔く,まく,GODAN
裁く,さばく,GODAN
裂く,さく,GODAN
覗く,のぞく,GODAN
解く,とく,GODAN
貫く,つらぬく,GODAN
轢く,ひく,GODAN
除く,のぞく,GODAN
頂く,いただく,GODAN
向く,むく,GODAN
嘆く,なげく,GODAN
思い付く,おもいつく,GODAN
励む,はげむ,GODAN
悩む,なやむ,GODAN
組む,くむ,GODAN
阻む,はばむ,GODAN
しゃがむ,しゃがむ,GODAN
乗り込む,のりこむ,GODAN
休む,やすむ,GODAN
住む,すむ,GODAN
凹む,へこむ,GODAN
取り組む,とりくむ,GODAN
和む,なごむ,GODAN
富む,とむ,GODAN
嵩む,かさむ,GODAN
引っ込む,ひっこむ,GODAN
弛む,たるむ,GODAN
弾む,はずむ,GODAN
微笑む,ほほえむ,GODAN
思い込む,おもいこむ,GODAN
意気込む,いきごむ,GODAN
止む,やむ,GODAN
歩む,あゆむ,GODAN
歪む,ゆがむ,GODAN
沈む,しずむ,GODAN
涼む,すずむ,GODAN
済む,すむ,GODAN
溶け込む,とけこむ,GODAN
滲む,にじむ,GODAN
潜む,ひそむ,GODAN
澄む,すむ,GODAN
病む,やむ,GODAN
痛む,いたむ,GODAN
絡む,からむ,GODAN
緩む,ゆるむ,GODAN
縮む,ちぢむ,GODAN
膨らむ,ふくらむ,GODAN
臨む,のぞむ,GODAN
苦しむ,くるしむ,GODAN
萎む,しぼむ,GODAN
落ち込む,おちこむ,GODAN
親しむ,したしむ,GODAN
赤らむ,あからむ,GODAN
軋む,きしむ,GODAN
込む,こむ,GODAN
進む,すすむ,GODAN
霞む,かすむ,GODAN
飛び込む,とびこむ,GODAN
押し込む,おしこむ,GODAN
刻む,きざむ,GODAN
割り込む,わりこむ,GODAN
包む,つつむ,GODAN
口ずさむ,くちずさむ,GODAN
含む,ふくむ,GODAN
吸い込む,すいこむ,GODAN
噛む,かむ,GODAN
囲む,かこむ,GODAN
好む,このむ,GODAN
妬む,ねたむ,GODAN
巻き込む,まきこむ,GODAN
待ち望む,まちのぞむ,GODAN
恨む,うらむ,GODAN
悔やむ,くやむ,GODAN
悲しむ,かなしむ,GODAN
惜しむ,おしむ,GODAN
慎む,つつしむ,GODAN
憎む,にくむ,GODAN
打ち込む,うちこむ,GODAN
払い込む,はらいこむ,GODAN
拝む,おがむ,GODAN
持ち込む,もちこむ,GODAN
挑む,いどむ,GODAN
挟む,はさむ,GODAN
掴む,つかむ,GODAN
揉む,もむ,GODAN
摘む,つまむ,GODAN
放り込む,ほうりこむ,GODAN
望む,のぞむ,GODAN
楽しむ,たのしむ,GODAN
汲む,くむ,GODAN
産む,うむ,GODAN
申し込む,もうしこむ,GODAN
畳む,たたむ,GODAN
盗む,ぬすむ,GODAN
睨む,にらむ,GODAN
積む,つむ,GODAN
突っ込む,つっこむ,GODAN
組み込む,くみこむ,GODAN
編む,あむ,GODAN
羨む,うらやむ,GODAN
詠む,よむ,GODAN
読む,よむ,GODAN
踏む,ふむ,GODAN
追い込む,おいこむ,GODAN
酌む,くむ,GODAN
頼む,たのむ,GODAN
飲み込む,のみこむ,GODAN
飲む,のむ,GODAN
懐かしむ,なつかしむ,GODAN
書き込む,かきこむ,GODAN
見込む,みこむ,GODAN
死ぬ,しぬ,GODAN
契る,ちぎる,GODAN
張り切る,はりきる,GODAN
謝る,あやまる,GODAN
読み終わる,よみおわる,GODAN
有る,ある,GODAN
サボる,さぼる,GODAN
しくじる,しくじる,GODAN
ダブる,だぶる,GODAN
上がる,あがる,GODAN
下がる,さがる,GODAN
下る,くだる,GODAN
乗る,のる,GODAN
亡くなる,なくなる,GODAN
交ざる,まざる,GODAN
交じる,まじる,GODAN
交わる,まじわる,GODAN
仕上がる,しあがる,GODAN
休まる,やすまる,GODAN
伝わる,つたわる,GODAN
余る,あまる,GODAN
係わる,かかわる,GODAN
偏る,かたよる,GODAN
備わる,そなわる,GODAN
儲かる,もうかる,GODAN
光る,ひかる,GODAN
入る,はいる,GODAN
入る,いる,GODAN
